image_src,title,price,description,Ref.,Material,Gemas,Tipo,url
https://robertojoyero.com/wp-content/uploads/0076781.jpg, Media alianza oro blanco y 7 brillantes 1.25 ct,2.800 ,Realizada en oro blanco de 18 quilates y 7 diamantes blanco extra con un peso de 1.25 quilates.,0076781,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-blanco-y-7-brillantes-1-25-ct/
https://robertojoyero.com/wp-content/uploads/0074245.jpg, Anillo solitario platino y brillante,3.100 ,Realizado en platino de 950 mm. y diamante blanco extra con un peso de 0.50 quilates.,0076881,PLATINO,DIAMANTES,"COMPROMISO,ESPECIAL PLATINO,SOLITARIOS",https://robertojoyero.com/producto/joyeria/anillos/anillo-solitario-platino-y-brillante-9/
https://robertojoyero.com/wp-content/uploads/0076866.jpg, Sortija solitario oro rosa y brillante 0.19 ct,1.455 ,Realizada en oro rosado de 18 quilates y un diamante blanco extra con un peso de 0.19 quilates.,0076866,ORO ROSA,DIAMANTES,COMPROMISO,https://robertojoyero.com/producto/joyeria/anillos/sortija-solitario-oro-rosa-y-brillante-0-19-ct/
https://robertojoyero.com/wp-content/uploads/0076869.jpg, Sortija oro rosa y brillantes,2.365 ,"Realizada en oro rosado de 18 quilates, diamantes blanco extra con un peso de 0.28 quilates y un diamante tipo baguette con un peso de 0.18 quilates.",0076869,ORO ROSA,DIAMANTES,COMPROMISO,https://robertojoyero.com/producto/joyeria/anillos/sortija-oro-rosa-y-brillantes-7/
https://robertojoyero.com/wp-content/uploads/0068855.jpg, Media alianza oro blanco y brillantes,1.110 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.28 quilates.,0068855,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-blanco-y-brillantes-26/
https://robertojoyero.com/wp-content/uploads/0076746.jpg," Sortija oro blanco, 2 brillantes y 1 rubí",950 ,"Realizada en oro blanco de 18 quilates, 2 diamantes blanco extra con un peso de 0.25 quilates y un rubí con un peso de 1.05 quilates.",0076746,ORO BLANCO,"DIAMANTES,RUBIES",COMPROMISO,https://robertojoyero.com/producto/joyeria/anillos/sortija-oro-blanco-2-brillantes-y-1-rubi/
https://robertojoyero.com/wp-content/uploads/0079048.jpg," Media alianza oro rosa, rubís y brillantes",1.985 ,"Realizada en oro rosado de 18 quilates, rubís con un peso total de 1.01 quilates, y diamantes blanco extra con un peso total de 0.22 quilates.",0079048,ORO ROSA,"DIAMANTES,RUBIES","ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-rosa-rubis-y-brillantes/
https://robertojoyero.com/wp-content/uploads/0076780.jpg, Sortija oro blanco y brillantes,7.130 ,"Realizada en oro blanco de 18 quilates, un diamante blanco extra con un peso de 0.77 quilates como piedra central, y diamantes blanco extra de diferentes tamaños en la montura con un peso total de 0.40 quilates.",0076780,ORO BLANCO,DIAMANTES,"COMPROMISO,SOLITARIOS",https://robertojoyero.com/producto/joyeria/anillos/sortija-oro-blanco-y-brillantes-21/
https://robertojoyero.com/wp-content/uploads/0076747.jpg," Sortija oro blanco, 2 brillantes y 1 esmeralda",900 ,"Realizada en oro blanco de 18 quilates, 2 diamantes blanco extra con un peso de 0.25 quilates y una esmeralda con un peso de 1.02 quilates.",0076747,ORO BLANCO,"DIAMANTES,ESMERALDAS","COMPROMISO,DIA DE LA MADRE",https://robertojoyero.com/producto/joyeria/anillos/sortija-oro-blanco-2-brillantes-y-1-esmeralda/
https://robertojoyero.com/wp-content/uploads/0078563.jpg, Sortija oro blanco y brillantes,1.045 ,"Realizado en oro blanco de 18 quilates, 1 diamante blanco extra con un peso de 0.20 quilates y diamantes blanco extra con un peso de 0.14 quilates.",0078563,ORO BLANCO,DIAMANTES,COMPROMISO,https://robertojoyero.com/producto/joyeria/anillos/sortija-oro-blanco-y-brillantes-13/
https://robertojoyero.com/wp-content/uploads/0072475.jpg, Media alianza oro rosa y brillantes,1.500 ,Realizado en oro rosado de 18 quilates y diamantes blanco extra con un peso de 0.47 quilates.,0072475,ORO ROSA,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-rosa-y-brillantes-2/
https://robertojoyero.com/wp-content/uploads/0076525.jpg, Media alianza oro rosa y 19 brillantes 0.30 ct,970 ,Realizado en oro rosado de 18 quilates y diamantes blanco extra con un peso de 0.30 quilates.,0076525,ORO ROSA,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-rosa-y-19-brillantes-0-30-ct/
https://robertojoyero.com/wp-content/uploads/0075490.jpg, Sortija oro blanco y aguamarina 7×5 mm,910 ,Realizado en oro blanco de 18 quilates y aguamarina natural de 7×5 mm y un peso de 0.81 quilates.,0075490,ORO BLANCO,GEMAS DE COLOR,COMPROMISO,https://robertojoyero.com/producto/joyeria/anillos/sortija-oro-blanco-y-aguamarina-7x5-mm/
https://robertojoyero.com/wp-content/uploads/0074915.jpg, Sortija tu y yo oro blanco y diamantes 0.60 ct,1.360 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.60 quilates.,0074915,ORO BLANCO,DIAMANTES,"COMPROMISO,DIA DE LA MADRE",https://robertojoyero.com/producto/joyeria/anillos/sortija-tu-y-yo-oro-blanco-y-diamantes-0-60-ct/
https://robertojoyero.com/wp-content/uploads/0074904.jpg, Sortija oro blanco y brillantes 0.17 ct,1.165 ,"Realizado en oro blanco de 18 quilates y diamante central blanco extra de un peso de 0.10 quilates, rodeado de brillantes de peso 0.07 quilates.",0074904,ORO BLANCO,DIAMANTES,COMPROMISO,https://robertojoyero.com/producto/joyeria/anillos/sortija-oro-blanco-y-brillantes-0-17-ct/
https://robertojoyero.com/wp-content/uploads/0022597.jpg, Sortija oro blanco y diamantes,4.120 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 1.32 quilates.,0022597,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/sortija-oro-blanco-y-diamantes/
https://robertojoyero.com/wp-content/uploads/0027843.jpg, Media alianza oro blanco y brillantes,2.165 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.77 quilates.,0027843,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-blanco-y-brillantes/
https://robertojoyero.com/wp-content/uploads/0030107.jpg, Media alianza oro blanco y brillantes,1.500 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.33 quilates.,0030107,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-blanco-y-brillantes-2/
https://robertojoyero.com/wp-content/uploads/0032203.jpg, Media alianza oro blanco y brillantes,2.810 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.77 quilates.,0032203,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-blanco-y-brillantes-3/
https://robertojoyero.com/wp-content/uploads/0039838.jpg, Media alianza oro blanco y brillantes,1.465 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.35 quilates.,0039838,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-blanco-y-brillantes-4/
https://robertojoyero.com/wp-content/uploads/0041936.jpg, Media alianza oro blanco y brillantes,2.245 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.52 quilates.,0041936,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-blanco-y-brillantes-6/
https://robertojoyero.com/wp-content/uploads/0041646.jpg, Anillo oro blanco y brillantes,5.100 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.65 quilates.,0041646,ORO BLANCO,DIAMANTES,"COMPROMISO,SOLITARIOS",https://robertojoyero.com/producto/joyeria/anillos/anillo-oro-blanco-y-brillantes/
https://robertojoyero.com/wp-content/uploads/0041935.jpg, Media alianza oro blanco y brillantes,3.905 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 1.13 quilates.,0041935,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-blanco-y-brillantes-5/
https://robertojoyero.com/wp-content/uploads/0066853.jpg, Media alianza oro blanco y diamantes,2.055 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.49 quilates.,0066853,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-blanco-y-diamantes/
https://robertojoyero.com/wp-content/uploads/0067366.jpg, Media alianza oro blanco y brillantes,585 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.12 quilates.,0067366,ORO BLANCO,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-blanco-y-brillantes-7/
https://robertojoyero.com/wp-content/uploads/0079520.jpg, Sortija oro amarillo y brillantes 0.24 ct,1.080 ,Realizada en oro amarillo de 18 quilates y diamantes blanco extra con un peso de 0.24 quilates.,0079520,ORO AMARILLO,DIAMANTES,COMPROMISO,https://robertojoyero.com/producto/joyeria/anillos/sortija-oro-amarillo-y-brillantes-0-24-ct/
https://robertojoyero.com/wp-content/uploads/0079521.jpg, Media alianza oro rosa y brillantes 0.33 ct,1.290 ,Realizada en oro rosado de 18 quilates y diamantes blanco extra con un peso de 0.33 quilates.,0079521,ORO ROSA,DIAMANTES,"ALIANZAS,COMPROMISO",https://robertojoyero.com/producto/joyeria/anillos/media-alianza-oro-rosa-y-brillantes-0-33-ct/
https://robertojoyero.com/wp-content/uploads/0074256.jpg, Anillo oro blanco esmeralda y brillantes,1.270 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.19 quilates y esmeralda de 1.80 quilates.,0074256,ORO BLANCO,"DIAMANTES,ESMERALDAS",COMPROMISO,https://robertojoyero.com/producto/joyeria/anillos/anillo-oro-blanco-esmeralda-y-brillantes-2/
https://robertojoyero.com/wp-content/uploads/0079522.jpg, Sortija oro blanco y brillantes 0.13 ct,925 ,Realizada en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.13 quilates.,0079522,ORO BLANCO,DIAMANTES,COMPROMISO,https://robertojoyero.com/producto/joyeria/anillos/sortija-oro-blanco-y-brillantes-0-13-ct/
https://robertojoyero.com/wp-content/uploads/0074567.jpg, Anillo oro blanco y brillantes,975 ,Realizado en oro blanco de 18 quilates y diamantes blanco extra con un peso de 0.15 quilates.,0074567,ORO BLANCO,DIAMANTES,"COMPROMISO,SOLITARIOS",https://robertojoyero.com/producto/joyeria/anillos/anillo-oro-blanco-y-brillantes-6/
